Sexo;Edad;Concepto turístico;Tipo de dato;Periodo;Total
Total;De 15 a 29 años;Viajes;Valor absoluto;2023T2;
Total;De 15 a 29 años;Viajes;Valor absoluto;2023T1;
Total;De 15 a 29 años;Viajes;Valor absoluto;2022T4;
Total;De 15 a 29 años;Viajes;Valor absoluto;2022T3;
Total;De 15 a 29 años;Viajes;Valor absoluto;2022T2;
Total;De 15 a 29 años;Viajes;Valor absoluto;2022T1;
Total;De 15 a 29 años;Viajes;Valor absoluto;2021T4;6.122.703
Total;De 15 a 29 años;Viajes;Valor absoluto;2021T3;10.523.747
Total;De 15 a 29 años;Viajes;Valor absoluto;2021T2;7.064.032
Total;De 15 a 29 años;Viajes;Valor absoluto;2021T1;4.080.387
Total;De 15 a 29 años;Viajes;Valor absoluto;2020T4;3.551.783
Total;De 15 a 29 años;Viajes;Valor absoluto;2020T3;9.302.885
Total;De 15 a 29 años;Viajes;Valor absoluto;2020T2;1.879.824
Total;De 15 a 29 años;Viajes;Valor absoluto;2020T1;5.581.068
Total;De 30 a 44 años;Viajes;Valor absoluto;2023T2;
Total;De 30 a 44 años;Viajes;Valor absoluto;2023T1;
Total;De 30 a 44 años;Viajes;Valor absoluto;2022T4;
Total;De 30 a 44 años;Viajes;Valor absoluto;2022T3;
Total;De 30 a 44 años;Viajes;Valor absoluto;2022T2;
Total;De 30 a 44 años;Viajes;Valor absoluto;2022T1;
Total;De 30 a 44 años;Viajes;Valor absoluto;2021T4;8.751.374
Total;De 30 a 44 años;Viajes;Valor absoluto;2021T3;13.579.894
Total;De 30 a 44 años;Viajes;Valor absoluto;2021T2;8.201.911
Total;De 30 a 44 años;Viajes;Valor absoluto;2021T1;3.154.345
Total;De 30 a 44 años;Viajes;Valor absoluto;2020T4;3.934.388
Total;De 30 a 44 años;Viajes;Valor absoluto;2020T3;11.179.641
Total;De 30 a 44 años;Viajes;Valor absoluto;2020T2;2.062.443
Total;De 30 a 44 años;Viajes;Valor absoluto;2020T1;7.018.881
Total;De 45 a 64 años;Viajes;Valor absoluto;2023T2;
Total;De 45 a 64 años;Viajes;Valor absoluto;2023T1;
Total;De 45 a 64 años;Viajes;Valor absoluto;2022T4;
Total;De 45 a 64 años;Viajes;Valor absoluto;2022T3;
Total;De 45 a 64 años;Viajes;Valor absoluto;2022T2;
Total;De 45 a 64 años;Viajes;Valor absoluto;2022T1;
Total;De 45 a 64 años;Viajes;Valor absoluto;2021T4;12.217.270
Total;De 45 a 64 años;Viajes;Valor absoluto;2021T3;17.423.419
Total;De 45 a 64 años;Viajes;Valor absoluto;2021T2;10.370.013
Total;De 45 a 64 años;Viajes;Valor absoluto;2021T1;5.008.114
Total;De 45 a 64 años;Viajes;Valor absoluto;2020T4;5.764.141
Total;De 45 a 64 años;Viajes;Valor absoluto;2020T3;13.530.711
Total;De 45 a 64 años;Viajes;Valor absoluto;2020T2;2.659.491
Total;De 45 a 64 años;Viajes;Valor absoluto;2020T1;8.812.563
Total;65 y más años;Viajes;Valor absoluto;2023T2;
Total;65 y más años;Viajes;Valor absoluto;2023T1;
Total;65 y más años;Viajes;Valor absoluto;2022T4;
Total;65 y más años;Viajes;Valor absoluto;2022T3;
Total;65 y más años;Viajes;Valor absoluto;2022T2;
Total;65 y más años;Viajes;Valor absoluto;2022T1;
Total;65 y más años;Viajes;Valor absoluto;2021T4;4.405.751
Total;65 y más años;Viajes;Valor absoluto;2021T3;5.645.585
Total;65 y más años;Viajes;Valor absoluto;2021T2;3.504.420
Total;65 y más años;Viajes;Valor absoluto;2021T1;1.298.122
Total;65 y más años;Viajes;Valor absoluto;2020T4;1.749.369
Total;65 y más años;Viajes;Valor absoluto;2020T3;3.996.639
Total;65 y más años;Viajes;Valor absoluto;2020T2;948.683
Total;65 y más años;Viajes;Valor absoluto;2020T1;3.417.867
Hombres;De 15 a 29 años;Viajes;Valor absoluto;2023T2;
Hombres;De 15 a 29 años;Viajes;Valor absoluto;2023T1;
Hombres;De 15 a 29 años;Viajes;Valor absoluto;2022T4;
Hombres;De 15 a 29 años;Viajes;Valor absoluto;2022T3;
Hombres;De 15 a 29 años;Viajes;Valor absoluto;2022T2;
Hombres;De 15 a 29 años;Viajes;Valor absoluto;2022T1;
Hombres;De 15 a 29 años;Viajes;Valor absoluto;2021T4;3.373.647
Hombres;De 15 a 29 años;Viajes;Valor absoluto;2021T3;4.861.730
Hombres;De 15 a 29 años;Viajes;Valor absoluto;2021T2;3.486.169
Hombres;De 15 a 29 años;Viajes;Valor absoluto;2021T1;2.062.549
Hombres;De 15 a 29 años;Viajes;Valor absoluto;2020T4;1.839.043
Hombres;De 15 a 29 años;Viajes;Valor absoluto;2020T3;4.174.719
Hombres;De 15 a 29 años;Viajes;Valor absoluto;2020T2;1.044.759
Hombres;De 15 a 29 años;Viajes;Valor absoluto;2020T1;2.623.687
Hombres;De 30 a 44 años;Viajes;Valor absoluto;2023T2;
Hombres;De 30 a 44 años;Viajes;Valor absoluto;2023T1;
Hombres;De 30 a 44 años;Viajes;Valor absoluto;2022T4;
Hombres;De 30 a 44 años;Viajes;Valor absoluto;2022T3;
Hombres;De 30 a 44 años;Viajes;Valor absoluto;2022T2;
Hombres;De 30 a 44 años;Viajes;Valor absoluto;2022T1;
Hombres;De 30 a 44 años;Viajes;Valor absoluto;2021T4;4.640.552
Hombres;De 30 a 44 años;Viajes;Valor absoluto;2021T3;6.763.694
Hombres;De 30 a 44 años;Viajes;Valor absoluto;2021T2;4.343.509
Hombres;De 30 a 44 años;Viajes;Valor absoluto;2021T1;1.788.944
Hombres;De 30 a 44 años;Viajes;Valor absoluto;2020T4;2.196.992
Hombres;De 30 a 44 años;Viajes;Valor absoluto;2020T3;5.769.812
Hombres;De 30 a 44 años;Viajes;Valor absoluto;2020T2;1.018.538
Hombres;De 30 a 44 años;Viajes;Valor absoluto;2020T1;3.679.908
Hombres;De 45 a 64 años;Viajes;Valor absoluto;2023T2;
Hombres;De 45 a 64 años;Viajes;Valor absoluto;2023T1;
Hombres;De 45 a 64 años;Viajes;Valor absoluto;2022T4;
Hombres;De 45 a 64 años;Viajes;Valor absoluto;2022T3;
Hombres;De 45 a 64 años;Viajes;Valor absoluto;2022T2;
Hombres;De 45 a 64 años;Viajes;Valor absoluto;2022T1;
Hombres;De 45 a 64 años;Viajes;Valor absoluto;2021T4;6.625.336
Hombres;De 45 a 64 años;Viajes;Valor absoluto;2021T3;8.960.468
Hombres;De 45 a 64 años;Viajes;Valor absoluto;2021T2;5.583.992
Hombres;De 45 a 64 años;Viajes;Valor absoluto;2021T1;2.909.808
Hombres;De 45 a 64 años;Viajes;Valor absoluto;2020T4;3.230.778
Hombres;De 45 a 64 años;Viajes;Valor absoluto;2020T3;6.796.072
Hombres;De 45 a 64 años;Viajes;Valor absoluto;2020T2;1.475.377
Hombres;De 45 a 64 años;Viajes;Valor absoluto;2020T1;4.677.096
Hombres;65 y más años;Viajes;Valor absoluto;2023T2;
Hombres;65 y más años;Viajes;Valor absoluto;2023T1;
Hombres;65 y más años;Viajes;Valor absoluto;2022T4;
Hombres;65 y más años;Viajes;Valor absoluto;2022T3;
Hombres;65 y más años;Viajes;Valor absoluto;2022T2;
Hombres;65 y más años;Viajes;Valor absoluto;2022T1;
Hombres;65 y más años;Viajes;Valor absoluto;2021T4;2.406.413
Hombres;65 y más años;Viajes;Valor absoluto;2021T3;2.942.670
Hombres;65 y más años;Viajes;Valor absoluto;2021T2;1.543.979
Hombres;65 y más años;Viajes;Valor absoluto;2021T1;653.937
Hombres;65 y más años;Viajes;Valor absoluto;2020T4;876.303
Hombres;65 y más años;Viajes;Valor absoluto;2020T3;2.015.588
Hombres;65 y más años;Viajes;Valor absoluto;2020T2;478.096
Hombres;65 y más años;Viajes;Valor absoluto;2020T1;1.708.417
Mujeres;De 15 a 29 años;Viajes;Valor absoluto;2023T2;
Mujeres;De 15 a 29 años;Viajes;Valor absoluto;2023T1;
Mujeres;De 15 a 29 años;Viajes;Valor absoluto;2022T4;
Mujeres;De 15 a 29 años;Viajes;Valor absoluto;2022T3;
Mujeres;De 15 a 29 años;Viajes;Valor absoluto;2022T2;
Mujeres;De 15 a 29 años;Viajes;Valor absoluto;2022T1;
Mujeres;De 15 a 29 años;Viajes;Valor absoluto;2021T4;2.749.056
Mujeres;De 15 a 29 años;Viajes;Valor absoluto;2021T3;5.662.017
Mujeres;De 15 a 29 años;Viajes;Valor absoluto;2021T2;3.577.864
Mujeres;De 15 a 29 años;Viajes;Valor absoluto;2021T1;2.017.838
Mujeres;De 15 a 29 años;Viajes;Valor absoluto;2020T4;1.712.740
Mujeres;De 15 a 29 años;Viajes;Valor absoluto;2020T3;5.128.166
Mujeres;De 15 a 29 años;Viajes;Valor absoluto;2020T2;835.065
Mujeres;De 15 a 29 años;Viajes;Valor absoluto;2020T1;2.957.382
Mujeres;De 30 a 44 años;Viajes;Valor absoluto;2023T2;
Mujeres;De 30 a 44 años;Viajes;Valor absoluto;2023T1;
Mujeres;De 30 a 44 años;Viajes;Valor absoluto;2022T4;
Mujeres;De 30 a 44 años;Viajes;Valor absoluto;2022T3;
Mujeres;De 30 a 44 años;Viajes;Valor absoluto;2022T2;
Mujeres;De 30 a 44 años;Viajes;Valor absoluto;2022T1;
Mujeres;De 30 a 44 años;Viajes;Valor absoluto;2021T4;4.110.821
Mujeres;De 30 a 44 años;Viajes;Valor absoluto;2021T3;6.816.200
Mujeres;De 30 a 44 años;Viajes;Valor absoluto;2021T2;3.858.403
Mujeres;De 30 a 44 años;Viajes;Valor absoluto;2021T1;1.365.402
Mujeres;De 30 a 44 años;Viajes;Valor absoluto;2020T4;1.737.396
Mujeres;De 30 a 44 años;Viajes;Valor absoluto;2020T3;5.409.829
Mujeres;De 30 a 44 años;Viajes;Valor absoluto;2020T2;1.043.905
Mujeres;De 30 a 44 años;Viajes;Valor absoluto;2020T1;3.338.973
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2023T2;
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2023T1;
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2022T4;
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2022T3;
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2022T2;
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2022T1;
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2021T4;5.591.934
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2021T3;8.462.951
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2021T2;4.786.021
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2021T1;2.098.307
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2020T4;2.533.364
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2020T3;6.734.639
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2020T2;1.184.114
Mujeres;De 45 a 64 años;Viajes;Valor absoluto;2020T1;4.135.467
Mujeres;65 y más años;Viajes;Valor absoluto;2023T2;
Mujeres;65 y más años;Viajes;Valor absoluto;2023T1;
Mujeres;65 y más años;Viajes;Valor absoluto;2022T4;
Mujeres;65 y más años;Viajes;Valor absoluto;2022T3;
Mujeres;65 y más años;Viajes;Valor absoluto;2022T2;
Mujeres;65 y más años;Viajes;Valor absoluto;2022T1;
Mujeres;65 y más años;Viajes;Valor absoluto;2021T4;1.999.339
Mujeres;65 y más años;Viajes;Valor absoluto;2021T3;2.702.915
Mujeres;65 y más años;Viajes;Valor absoluto;2021T2;1.960.441
Mujeres;65 y más años;Viajes;Valor absoluto;2021T1;644.185
Mujeres;65 y más años;Viajes;Valor absoluto;2020T4;873.067
Mujeres;65 y más años;Viajes;Valor absoluto;2020T3;1.981.051
Mujeres;65 y más años;Viajes;Valor absoluto;2020T2;470.588
Mujeres;65 y más años;Viajes;Valor absoluto;2020T1;1.709.450